work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Science Consultant,54000,EUR,64369,DE,50,DE,L
2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
2021,SE,FT,Data Science Engineer,159500,CAD,127543,CA,50,CA,L
2021,SE,FT,Manager Data Science,144000,USD,144000,US,100,US,L
2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
2021,MI,FT,Data Scientist,95000,CAD,75966,CA,100,CA,L
2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5423,IN,50,IN,M
2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
2021,MI,FT,Applied Data Scientist,68000,CAD,54376,GB,50,CA,L
2021,MI,FT,Machine Learning Engineer,40000,EUR,47681,ES,100,ES,S
2021,EX,FT,Director of Data Science,130000,EUR,154963,IT,100,PL,L
2021,MI,FT,Data Engineer,110000,PLN,28801,PL,100,PL,L
2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
2021,EN,FT,Research Scientist,60000,GBP,83000,GB,50,GB,L
2021,EN,FT,Data Analyst,50000,EUR,59601,FR,50,FR,M
2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
2021,SE,FT,Data Analytics Engineer,67000,EUR,79866,DE,100,DE,L
2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
2021,SE,FT,Data Scientist,45000,EUR,53641,FR,50,FR,L
2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
